Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization,join_key,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months
Captain Polyplas,536974.0,__NA__,Plastics Products,51.65,-6.11,33.99,98153,82607,128936,69.75,19.2,69.75,4.89,-1.99,3.99,0.5,53.43,45.35,53.45,45.28,50.09,-0.54,-0.64,-0.98,-1.09,166.16,12.46,15.54,164119,10.56,17.32,286.04,536974.0___NA__,0.97,132.27,10.92,1.59,2.99,0.95,58.07,2.59,-16.74,92.42,0.97,2.99,11.72,-0.32,6.18,186.14,1.25,1.06,2.66,0.0,58.96,-34.19,0.02,64.19,25.95,169.01,0.74,12.9,0.0,35.14,-20.86,13.14,51.0,30.85,-20.85,4.52,60.22,102.66,10.58,0.0,81.84,75.3,6.24,263.99,42.5,0.0,28.8,15.2,0.03,1.98,239.82,150.97,0.0,1.82,0.0,263.99,170.91,0.59,34.6,176.61,2.0,4.87,13.15,49.5,5.04,81.54,130.28,13.7,42.5,0.0,122.12,68.85,31.46,25.76,86.13,62.61,23.55,24.9,17.66,10.77,10.87,294.32,10.79,16.6,18.88,3.14,3.03,294.32,31.77,3.38,35.15,2.41,32.74,10.94,21.8,5.2,16.6,0.0,16.6,0.0,70.32,12.62,10.79,5.64,31.77,10.94,2.41,3.14,32.74,16.6,5.59,5.2,3.38,202403.0,224.6,16.87,2.89,19.76,2.72,17.04,9.38,7.66,2.16,5.5,0.0,5.5,0.0,7.51,2.45,1.09,302.27,14.43
Arnold Holdings,537069.0,__NA__,Finance & Investments,49.0,34.54,127.09,30634,25796,28524,54.25,16.9,88.85,9.4,0.97,-3.15,-4.79,46.26,35.88,46.16,35.75,50.28,1.07,1.27,1.32,1.39,117.53,35.98,6.13,83336,4.63,0.98,116.51,537069.0___NA__,0.56,9.03,8.34,1.33,3.44,0.13,3.95,743.42,13.7,54.94,0.56,3.44,9.33,-0.01,6.81,11.44,10.45,1.09,2.54,0.0,78.18,-43.91,0.12,85.94,9.68,189.94,0.9,1.06,0.0,43.92,3.81,11.78,28.01,3.45,3.8,3.84,18.18,60.1,23.78,0.0,31.16,0.0,72.87,140.79,5.39,0.0,0.86,3.22,0.0,22.65,33.42,25.2,9.8,0.0,0.0,140.79,8.22,0.0,23.8,0.42,10.0,8.94,0.0,20.98,3.01,72.87,34.38,4.52,5.39,0.45,15.23,15.13,21.87,54.32,0.0,8.32,6.29,4.71,1.1,1.39,0.0,208.2,9.55,8.82,14.53,3.71,4.25,208.2,19.89,0.21,20.1,2.13,17.97,5.23,12.74,3.92,8.82,0.0,8.82,0.0,32.52,2.8,9.55,4.24,19.89,5.23,2.13,3.71,17.97,8.82,3.7,3.92,0.21,202403.0,162.97,10.84,1.65,12.12,0.82,11.3,6.64,5.03,1.21,3.53,0.37,3.81,0.0,6.65,2.17,1.27,188.76,1.9
Sunil Healthcare,537253.0,__NA__,Miscellaneous,85.1,43.61,41.35,3492,1391,662,100.9,45.65,172.7,13.8,-3.32,8.67,12.24,79.2,70.33,78.84,70.15,65.22,1.65,1.28,0.78,0.57,51.19,39.82,24.1,5940,0.67,11.2,87.27,537253.0___NA__,0.97,-32.5,16.09,1.1,0.56,,56.64,175.0,-6.0,68.21,0.97,0.56,46.52,-0.46,-36.96,143.89,-2.36,0.97,2.05,0.0,,-71.7,0.04,71.4,15.66,86.42,0.84,0.98,0.0,,-5.57,10.79,,49.59,-5.54,2.51,581.8,66.15,10.25,1.16,57.96,32.14,3.49,158.5,108.29,2.95,37.86,87.15,5.66,0.0,62.49,56.83,0.0,0.0,0.03,158.5,51.08,0.0,14.05,40.59,10.0,3.61,0.11,6.08,1.03,35.63,29.61,70.43,108.29,0.01,29.15,30.57,28.03,,48.95,55.08,44.53,,69.8,68.83,59.72,90.19,4.53,-1.79,2.82,-1.75,0.0,90.19,4.09,5.22,9.31,6.09,3.22,5.78,-2.56,-0.77,-1.79,0.0,-1.79,0.0,51.42,12.94,4.53,-1.98,4.09,5.78,6.09,-1.75,3.22,-1.79,0.1,-0.77,5.22,202403.0,110.49,16.17,4.5,20.58,7.01,13.57,4.17,9.49,2.8,6.61,0.09,6.68,0.0,14.63,5.98,6.51,90.14,-1.49
RCI Industries,537254.0,__NA__,Mining / Minerals / Metals,4.22,-23.23,-12.96,13551,0,0,6.41,2.86,264.5,2.86,-0.24,0.0,-8.44,4.49,4.38,4.5,4.38,44.98,-0.02,0.0,-0.07,-0.08,19.49,-22.31,-42.93,8671,-41.19,-19.71,6.62,537254.0___NA__,0.17,0.81,-5.69,0.14,-29.28,,65.42,29.95,83.3,-128.47,0.17,-29.28,-4.64,-27.14,-3.27,89.45,5.56,-3.62,-1.29,0.0,,-7013.29,0.3,38.31,34.17,47.55,0.66,0.04,0.0,,-5.71,-39.12,,16.13,-5.71,-2.36,-2.28,235.41,15.68,0.0,-144.15,216.32,17.22,114.66,113.72,0.0,52.02,57.85,6.27,12.47,32.34,224.87,0.0,0.0,230.65,114.66,25.33,0.0,3.47,15.14,10.0,1.75,0.47,4.04,1.57,233.16,80.01,71.25,112.46,8.42,210.56,207.03,120.99,37.34,148.02,151.02,81.15,29.2,92.48,20.98,2.62,38.72,-109.76,-53.15,-48.54,-33.9,0.0,59.68,-60.68,0.23,-60.45,11.28,-71.73,0.6,-72.33,-0.23,-72.1,0.0,-72.1,0.0,119.74,4.38,-101.68,-120.81,-42.5,1.77,9.61,-45.99,-51.82,-53.15,0.0,-0.45,0.29,202203.0,68.8,-78.53,-1.07,-77.89,12.47,-90.36,0.18,-92.25,-1.7,-88.84,-1.71,-90.55,0.0,-114.14,-129.13,-57.76,40.83,-72.98
Suyog Telematics,537259.0,__NA__,Transmisson Line Towers / Equipment,1096.0,-14.39,4.73,27791,41664,14268,1365.0,389.0,1365.0,20.42,3.74,-2.87,-3.78,1100.11,992.92,1101.89,992.28,46.03,-14.89,-15.33,-14.63,-14.56,161.05,36.71,18.28,47617,15.77,47.5,1168.54,537259.0___NA__,7.05,-65.16,10.57,1.11,4.66,1.08,37.65,-17.74,8.72,298.39,7.05,4.66,14.53,0.04,2.38,435.4,-4.3,0.53,1.64,0.0,1033.9,-13.22,0.0,72.97,19.33,183.07,0.81,1.55,0.0,611.47,16.37,23.04,72.74,58.63,16.32,5.67,74.68,150.38,10.66,0.0,287.73,84.16,73.9,500.1,415.54,0.0,75.57,370.6,2.07,0.05,86.94,78.15,0.71,0.05,8.5,500.1,62.73,64.84,7.32,46.19,10.0,3.65,2.84,16.09,1.05,158.06,48.98,339.97,415.54,2.84,20.24,20.87,20.64,0.97,93.47,57.71,60.59,10.67,196.4,101.03,67.64,166.61,70.43,63.31,21.62,59.38,0.0,166.61,117.34,7.66,125.0,34.1,90.9,19.5,71.4,8.09,63.31,0.0,63.31,0.0,10.41,17.09,70.43,38.0,117.34,19.5,34.1,59.38,90.9,63.31,14.68,8.09,7.66,202403.0,143.64,92.84,8.64,101.48,26.43,75.05,16.05,59.0,12.69,46.31,0.0,46.31,0.52,64.63,32.24,44.18,159.5,60.24
Nath Bio-Genes,537291.0,NATHBIOGEN,Miscellaneous,220.55,11.97,-2.09,124821,222983,76538,244.6,167.15,585.0,38.9,3.99,2.22,15.51,198.74,198.17,198.2,198.03,60.07,6.19,6.3,4.55,4.14,13.44,-17.96,-12.87,92284,-6.07,6.12,419.13,537291.0_NATHBIOGEN,1.29,12.84,9.03,2.18,5.25,-12.93,124.4,-18.94,35.6,610.65,1.29,5.25,9.65,0.14,2.7,663.22,4.76,0.3,1.37,9.46,318.75,-24.56,0.13,74.69,8.01,34.61,0.92,1.22,9.46,390.97,5.72,6.42,8.03,217.77,5.72,2.88,189.2,108.68,19.0,0.0,591.65,104.18,1.03,877.08,269.63,0.0,25.25,249.45,0.0,6.06,568.52,260.6,0.0,0.0,71.85,877.08,413.77,0.37,229.07,94.31,10.0,75.5,73.34,41.7,1.9,105.21,409.37,244.38,269.63,0.0,463.23,328.27,160.71,68.77,100.78,58.15,73.79,23.02,246.93,231.72,207.29,332.62,15.15,36.73,6.83,21.14,0.0,332.62,50.38,4.1,51.03,3.26,47.77,9.1,42.12,1.95,36.73,3.45,40.18,3.8,-2.68,27.98,15.15,11.04,50.38,9.1,3.26,21.14,47.77,40.18,1.95,1.95,4.1,202403.0,234.04,48.98,0.56,49.54,3.01,46.53,10.21,36.32,1.15,35.17,0.0,35.17,3.8,20.93,15.03,18.51,334.51,40.55
Agri-Tech India,537292.0,AGRITECH,Miscellaneous,198.3,-4.2,2.67,21747,15623,22080,262.05,98.0,262.05,4.76,0.28,-0.48,5.12,196.5,186.59,196.45,186.48,51.81,0.97,0.99,0.41,0.27,96.46,63.13,26.13,35784,19.12,35.08,117.8,537292.0_AGRITECH,736.25,-11.59,12.01,64.01,,0.19,56706.25,-83.53,,101.25,736.25,,12.02,-0.22,0.0,101.38,-10.03,0.41,1.1,0.0,149.53,-34.27,0.0,61.14,24.33,102.35,0.76,-1.11,0.0,250.77,-10.98,3.29,14.02,153.78,-11.05,4.59,84.14,0.0,5.94,0.0,95.31,0.0,8.47,102.82,12.58,0.0,2.78,10.65,0.0,0.0,92.17,1.44,0.0,0.0,41.0,102.82,90.73,0.0,0.01,0.0,10.0,0.63,19.5,0.05,0.59,8.47,62.97,9.8,12.58,0.28,63.29,54.18,20.45,11.71,15.64,0.99,0.26,3.56,10.56,23.82,44.64,0.16,-612.5,9.74,9.69,16.4,0.0,0.16,-0.98,10.74,9.76,0.01,9.75,0.0,9.75,0.0,9.74,0.0,9.74,0.0,150.0,0.22,-612.5,6087.5,-0.98,0.0,0.01,16.4,9.75,9.74,0.0,0.0,10.74,202403.0,0.23,-0.7,0.38,-0.32,0.02,-0.34,0.01,-0.35,0.04,-0.39,0.0,-0.39,0.0,-304.35,-169.57,-0.66,0.15,8.13
Chemtech Indust.,537326.0,__NA__,Engineering,191.1,59.71,264.83,61709,21602,3653,207.95,31.0,207.95,4.0,-2.0,-2.48,28.88,160.72,107.9,159.32,107.03,67.58,12.26,12.41,9.15,8.37,331.8,170.52,101.99,45933,41.7,29.68,279.72,537326.0___NA__,8.91,138.35,43.51,3.14,5.05,0.86,81.33,5.5,-3.44,34.93,8.91,5.05,51.38,0.07,1.17,36.96,6.47,0.32,1.14,0.0,50.16,2.26,0.03,90.48,8.1,516.45,0.92,10.79,0.0,39.02,77.07,12.03,539.87,17.48,77.27,11.26,243.23,4.85,14.64,0.0,20.29,9.1,1.47,51.11,23.7,0.29,12.11,11.15,0.29,0.05,36.22,11.52,0.0,0.0,6.26,51.11,25.52,0.0,4.93,5.91,10.0,17.42,0.0,4.24,1.15,10.57,9.28,11.59,23.7,0.29,6.25,1.42,4.8,12.15,12.18,11.24,15.75,15.93,12.27,14.01,15.92,31.38,18.32,4.15,16.67,2.84,-13.07,31.38,5.75,0.39,6.14,0.94,5.2,1.03,4.17,0.01,4.15,0.0,4.15,0.0,55.0,2.01,18.32,13.22,5.75,1.03,0.94,2.84,5.2,4.15,0.0,0.01,0.39,202403.0,20.42,3.89,0.99,4.45,0.98,3.47,1.13,2.77,-0.01,2.36,0.43,2.79,0.0,19.05,11.56,2.43,29.64,5.43
Taaza Intern.,537392.0,__NA__,Trading,5.15,-11.29,-30.42,15497,0,0,18.11,5.15,78.3,2.25,-4.98,0.0,-9.52,6.29,8.94,6.33,8.98,35.34,-0.14,-0.1,-0.08,-0.07,-61.29,21.39,-9.22,45995,-11.87,-11.04,3.73,537392.0___NA__,,-33.17,-23.31,4.74,,,,60.0,,9.78,,,-19.63,-0.46,0.0,8.97,-1.19,0.0,1.22,0.0,,0.0,0.03,0.0,71.56,0.0,0.28,-0.54,0.0,,46.99,-2.8,,12.29,46.63,2.52,-186.5,0.0,7.26,0.0,2.52,0.0,0.0,11.84,0.02,0.0,0.0,0.0,0.0,0.0,11.37,2.4,0.0,0.0,0.0,11.84,8.97,0.0,0.0,11.17,10.0,0.0,0.0,1.02,0.73,0.0,9.04,0.02,0.02,0.0,9.26,14.11,14.73,10.98,0.0,0.42,1.96,2.82,0.25,2.1,2.38,0.0,,-0.17,-2.2,-0.23,0.0,0.0,-0.19,0.0,-0.19,0.02,-0.21,0.0,-0.21,-0.04,-0.17,0.0,-0.17,0.0,,0.03,,,-0.16,0.0,0.03,-0.23,-0.19,-0.17,0.0,-0.01,0.0,202303.0,0.0,-0.18,0.0,-0.18,0.02,-0.2,0.01,-0.21,-0.04,-0.17,0.0,-0.17,0.0,,,-0.23,0.0,-0.15
Denis Chem Lab,537536.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,189.8,22.46,39.6,54008,31101,31800,232.9,86.06,232.9,16.26,-0.11,-5.43,10.08,182.23,146.85,181.91,146.42,50.19,5.01,5.92,5.41,5.51,111.13,53.83,32.15,25535,6.1,21.65,263.39,537536.0___NA__,1.55,26.45,10.46,2.55,29.04,0.78,25.48,-14.69,-0.52,80.37,1.55,29.04,15.09,0.21,0.13,80.6,13.7,0.05,1.35,35.32,125.27,4.83,0.05,69.08,19.49,117.87,0.81,1.66,35.32,102.33,15.95,12.1,75.82,30.76,15.92,7.31,95.31,1.04,13.88,0.0,66.49,0.5,1.43,109.35,102.19,0.0,66.77,37.62,0.22,0.0,69.37,27.2,0.0,0.0,3.33,109.35,42.76,0.0,10.19,31.66,10.0,24.67,0.46,21.41,1.39,3.22,29.04,41.66,100.62,0.0,24.02,24.96,3.94,12.44,13.53,24.97,43.89,16.58,45.84,39.92,39.68,167.82,12.66,11.15,16.06,8.04,0.0,160.6,18.78,0.59,19.37,7.82,11.55,0.64,10.91,3.05,7.86,0.0,7.86,2.78,52.59,13.04,11.69,4.89,21.24,0.54,6.94,5.66,15.68,11.15,4.87,3.98,1.38,202303.0,136.05,14.35,1.05,15.37,5.76,9.61,0.76,8.88,2.62,6.24,0.03,6.26,2.08,10.55,4.59,4.51,167.7,9.2
Polymac Thermof.,537573.0,__NA__,Plastics Products,41.05,-0.46,9.29,31832,24200,42400,49.5,30.04,210.0,7.21,-0.63,0.39,0.07,41.91,39.19,41.94,39.17,42.94,-0.25,-0.21,-0.09,-0.06,30.03,60.45,28.92,25393,,-6.3,19.62,537573.0___NA__,1.35,-18.89,27.34,2.33,3.63,2.75,61.37,575.0,-26.16,10.57,1.35,3.63,36.29,0.26,4.94,11.16,-6.09,0.14,1.78,0.0,19.22,27.12,0.35,56.58,17.07,36.65,0.83,-5.06,0.0,17.96,-13.59,3.17,117.78,18.6,-13.53,3.88,78.48,1.53,4.78,0.0,5.79,0.04,6.83,18.91,4.37,0.0,2.33,2.23,0.0,0.77,15.65,6.72,0.04,0.0,0.0,18.91,8.93,0.0,4.31,1.53,10.0,0.1,0.34,3.02,0.48,6.87,14.07,2.04,4.37,0.0,7.91,9.4,8.75,9.73,1.56,1.28,1.41,3.63,1.2,1.06,1.03,14.55,0.69,0.31,3.39,0.65,0.0,14.55,0.1,0.67,0.77,0.19,0.58,0.16,0.42,0.11,0.31,0.0,0.31,0.0,49.76,0.6,0.69,2.13,0.1,0.16,0.19,0.65,0.58,0.31,0.08,0.11,0.67,202403.0,8.8,-0.89,1.81,0.92,0.17,0.75,0.14,0.61,0.16,0.45,0.0,0.45,0.0,-10.11,5.11,0.94,,
Unishire Urban,537582.0,__NA__,Finance & Investments,2.41,16.43,-38.68,287368,142500,230000,6.49,1.55,21.9,0.84,0.0,3.43,11.57,2.5,2.64,2.5,2.64,50.4,-0.01,-0.02,-0.01,-0.01,21.72,13.46,0.59,154670,-13.42,-14.52,5.87,537582.0___NA__,1.38,29.4,8.13,2.87,,0.41,319.76,1000.0,-23.33,21.16,1.38,,8.24,-0.37,0.0,13.63,0.97,0.0,1.01,0.0,3.7,0.85,0.01,17.41,62.87,55.48,0.37,-0.16,0.0,6.21,-10.89,-5.13,3.43,5.57,-10.87,2.18,,0.0,24.36,0.0,-3.2,0.0,0.02,28.43,0.09,0.0,0.04,0.04,0.0,7.02,20.86,7.27,0.0,0.0,0.0,28.43,13.59,0.0,9.64,0.15,10.0,0.02,0.0,7.01,2.44,0.02,12.63,0.06,0.09,0.0,17.62,3.79,14.16,15.34,2.83,0.9,0.0,0.0,0.01,0.01,0.38,4.25,-13.88,0.48,3.43,0.2,-8.7,4.25,-0.59,1.31,0.72,0.01,0.71,0.0,0.71,0.22,0.48,0.0,0.48,0.0,87.29,0.32,-13.88,11.29,-0.59,0.0,0.01,0.2,0.71,0.48,0.22,0.22,1.31,202403.0,1.32,-0.32,0.0,-0.32,0.01,-0.33,0.0,-0.33,0.0,-0.33,0.0,-0.33,0.0,-24.24,-25.0,-0.14,,
Laxmipati Engg,537669.0,__NA__,Miscellaneous,70.35,11.35,11.35,3500,3000,3000,74.02,28.8,74.02,24.8,-4.96,-4.96,5.0,53.86,47.13,53.19,46.89,66.56,7.68,8.04,7.44,7.38,,33.91,6.23,5850,5.0,6.74,40.45,537669.0___NA__,1.0,-19.74,13.39,1.74,1.25,-10.29,28.3,441.67,30.66,2.07,1.0,1.25,16.67,-0.96,51.42,43.23,-5.3,19.21,33.6,0.0,18.99,-99.09,0.0,91.88,4.96,144.27,0.95,7.49,0.0,10.48,13.51,6.22,1013.86,19.67,13.39,2.98,,40.11,5.75,0.0,-3.68,8.16,29.53,46.17,33.54,0.0,3.7,30.23,1.59,0.0,13.9,8.01,0.0,0.0,0.0,46.17,11.41,0.0,9.59,3.16,10.0,0.06,0.36,1.93,0.58,37.69,7.93,29.84,33.54,1.59,6.67,5.85,1.47,0.64,24.55,11.69,4.38,4.54,17.41,15.35,12.15,40.32,14.91,0.78,12.39,1.36,0.0,40.32,6.01,0.0,6.01,1.18,4.83,3.85,0.98,0.21,0.78,0.0,0.78,0.0,45.93,10.17,14.91,1.93,6.01,3.85,1.18,1.36,4.83,0.78,0.05,0.21,0.0,202403.0,15.21,-0.31,0.06,-0.25,1.1,-1.35,3.09,-4.44,0.29,-4.73,0.0,-4.73,0.0,-2.04,-31.1,-8.22,,
ETT Ltd,537707.0,__NA__,Construction,22.14,22.03,20.09,172383,133776,79917,38.82,17.0,75.0,13.52,-2.77,-5.91,-38.26,25.29,23.83,25.39,23.85,37.32,-1.17,-1.05,-0.39,-0.2,-30.15,-4.14,2.17,189005,,,22.97,537707.0___NA__,,1.96,9.72,1163.67,,0.65,,-6.98,,36.1,,,9.72,0.13,0.0,34.88,33.41,0.0,0.98,0.0,21.56,0.17,0.0,23.56,42.97,30.24,0.57,1.99,0.0,36.15,14.13,3.77,8.62,33.54,14.09,3.79,57.43,0.0,10.37,0.0,25.73,0.0,0.0,36.13,0.0,0.0,0.0,0.0,0.0,0.0,34.91,0.03,0.0,0.0,0.0,36.13,34.88,0.0,0.0,0.0,10.0,0.04,0.0,0.0,1.04,0.0,15.52,0.0,0.0,0.0,0.3,1.97,1.68,1.93,4.38,7.84,8.38,22.12,28.5,31.64,35.37,0.0,,1.73,6.7,1.67,0.0,0.0,-0.38,2.74,2.36,0.0,2.36,0.0,2.36,0.62,1.73,0.0,1.73,0.0,,0.09,,161.25,-0.38,0.0,0.0,1.67,2.36,1.73,0.01,0.62,2.74,202403.0,0.8,-0.17,10.37,1.76,0.23,1.53,0.01,9.96,1.45,1.29,8.44,8.5,0.0,-21.25,161.25,8.2,0.06,1.89
Shree Hanuman Sg,537709.0,__NA__,Sugar,16.57,173.91,141.77,294455,193251,111748,16.9,4.95,102.0,1.1,-1.95,21.41,150.0,8.97,7.2,8.65,7.1,94.77,2.43,2.23,1.62,1.41,218.27,,,88753,,-5.51,30.66,537709.0___NA__,,-75.38,-331.92,0.02,,,,80.0,,153.18,,,-331.92,-1.84,-214.42,208.48,-0.19,0.53,1.56,0.0,,-265.23,0.0,97.24,1.95,234.75,0.98,-6.97,0.0,,-255.45,-12.07,,-15.55,-255.5,0.95,-1022.0,55.75,18.5,0.0,134.68,0.0,55.64,239.03,270.41,143.06,33.17,237.24,0.0,0.45,1.34,85.85,0.0,0.0,25.68,239.03,-28.76,0.0,0.11,0.0,10.0,0.11,8.46,5.77,1.85,55.64,-28.6,237.24,270.41,0.0,13.62,-3.48,-25.91,-26.43,55.12,37.04,15.28,6.86,97.12,97.16,97.15,0.0,,-0.26,-0.12,-0.14,0.0,0.0,-0.26,0.0,-0.26,0.0,-0.26,0.0,-0.26,0.0,-0.26,0.0,-0.26,0.0,,0.01,,,-0.26,0.0,0.0,-0.14,-0.26,-0.26,0.0,0.0,0.0,202403.0,0.0,-7.15,0.0,-7.15,0.0,-7.15,0.0,-7.15,0.0,-7.15,0.0,-7.15,0.0,,,-3.86,0.0,-7.16
Kiran Vyapar,537750.0,__NA__,Finance & Investments,187.2,4.52,27.09,16611,48003,14658,205.0,133.0,224.9,28.55,0.51,4.25,11.69,173.66,165.29,173.14,165.08,60.05,4.12,3.7,1.6,0.97,29.75,7.88,16.35,11614,7.77,13.18,510.76,537750.0___NA__,5.52,16.95,7.53,8.06,7.43,0.55,75.59,-61.05,-20.13,1773.2,5.52,7.43,7.55,3.23,1.8,98.87,1.68,0.06,1.06,5.18,485.79,-12.64,0.07,75.28,8.68,40.75,0.91,5.35,5.18,528.57,8.76,5.91,2.87,25.63,8.75,1.82,98.22,92.62,26.98,0.0,1746.22,10.0,131.07,2043.04,43.42,0.0,14.48,28.9,0.0,1668.17,79.88,9.91,0.0,0.0,21.49,2043.04,69.97,0.0,0.42,2.4,10.0,49.54,0.0,0.0,2.73,141.07,38.16,28.94,43.42,0.0,35.53,36.66,209.24,18.75,31.38,33.07,55.24,0.0,46.95,49.3,47.57,92.56,61.4,51.59,4.1,19.11,0.0,92.56,56.83,16.76,73.59,0.19,73.4,9.88,63.52,11.93,51.59,0.0,51.59,2.7,14.77,6.55,61.4,55.74,56.83,9.88,0.19,19.11,73.4,51.59,12.31,11.93,16.76,202403.0,67.31,38.49,14.21,52.99,0.25,52.74,6.23,46.22,7.7,38.78,-0.29,38.54,4.05,57.18,57.61,14.23,88.98,44.6
B.C. Power,537766.0,BCP,Trading,4.68,-3.82,-7.88,244002,187220,183161,7.27,3.51,51.2,2.85,-2.3,2.35,3.68,4.81,4.95,4.81,4.96,53.48,-0.01,-0.02,-0.03,-0.04,23.14,8.5,-35.27,365802,1.19,1.82,32.67,537766.0_BCP,0.34,9.95,16.81,36.2,1.93,-2.24,43.47,10.28,-21.78,40.66,0.34,1.93,16.81,0.37,1.29,41.59,8.05,1.65,1.93,0.0,2.19,-204.74,0.02,31.12,35.63,33.33,0.64,0.63,0.0,3.68,-0.43,1.17,37.2,5.93,-0.43,6.24,-34.03,0.93,13.96,0.0,26.7,0.0,0.0,41.81,0.0,0.0,0.0,0.18,0.0,0.0,41.63,1.15,0.0,0.0,66.1,41.81,41.41,0.0,0.02,1.9,2.0,0.14,73.02,0.0,6.98,0.0,39.76,0.0,0.0,0.0,36.42,51.69,46.06,46.06,8.02,25.4,27.53,30.65,2.84,3.43,3.87,95.27,-1.29,0.72,4.88,0.1,0.0,95.27,-1.23,3.22,1.99,0.0,1.99,1.03,0.96,0.24,0.72,0.0,0.72,0.0,99.87,0.33,-1.29,0.76,-1.23,1.03,0.0,0.1,1.99,0.72,0.24,0.24,3.22,202403.0,93.71,-1.27,2.75,1.41,0.07,1.34,0.46,0.95,0.24,0.64,0.07,0.7,0.0,-1.36,0.68,0.1,88.98,1.51
Race Eco,537785.0,RACE,Trading,439.95,26.36,13.45,65284,48134,19471,503.95,226.1,503.95,6.49,4.64,-3.73,18.87,375.04,334.7,373.18,333.84,62.99,19.23,20.04,19.57,19.66,49.44,19.56,55.67,26493,68.5,34.1,722.95,537785.0_RACE,2.08,,117.3,1.27,1.94,,15.04,-77.55,17.18,22.21,2.08,1.94,133.74,,27.43,63.1,,1.92,2.97,0.0,28.08,-5.83,0.0,76.66,12.87,94.21,0.87,,0.0,16.94,-84.42,11.32,14927.81,31.86,-84.59,19.46,6559.55,42.52,16.43,0.0,5.78,16.06,26.46,82.96,11.59,0.0,3.37,8.22,2.63,1.41,70.34,55.36,1.41,0.0,0.0,82.96,52.25,5.43,0.96,55.11,10.0,0.44,0.12,16.76,1.64,15.51,32.95,2.91,5.21,0.0,,,,,,,,,,,,347.48,1.67,1.57,11.32,0.94,0.0,347.48,5.81,0.66,6.51,0.8,5.71,2.94,2.73,1.18,1.57,-0.04,1.55,0.0,96.31,2.32,1.67,0.45,5.81,2.94,0.8,0.94,5.71,1.55,0.91,1.18,0.66,202403.0,269.08,2.09,0.85,2.94,0.44,2.5,0.71,1.79,0.48,1.3,0.0,1.3,0.0,0.78,0.48,0.79,354.62,2.06
